91.142.175.21:587,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 8 сек.,2022-11-29 14:33:49.432476
Запуск скрипта, LOADED,29:11:22 14:48:52
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 14:49:00.812382
acsk-ca.informjust.ua,ALERT: DOWN 🛑 OSError. Down since: 29.11.22 14:49:08,2022-11-29 14:49:08.460864
acsk-czo.gov.ua,ALERT: DOWN 🛑 OSError. Down since: 29.11.22 14:49:08,2022-11-29 14:49:08.600848
acsk-ca.informjust.ua,ALERT: DOWN 🛑 OSError. Down since: 29.11.22 14:49:08,2022-11-29 14:49:08.752836
sanctions.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 29.11.22 14:59:51,2022-11-29 15:00:07.172220
sanctions.nazk.gov.ua,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 31 сек.,2022-11-29 15:01:23.072011
sanctions.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 29.11.22 15:02:39,2022-11-29 15:02:42.124899
Запуск скрипта, LOADED,29:11:22 15:07:30
Запуск скрипта, LOADED,29:11:22 15:07:50
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 15:08:23.652151
Запуск скрипта, LOADED,29:11:22 15:10:30
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 15:11:28.613565
Запускаємо перевірку SSL-сертифікатів (1 раз на 1440.0 хв), функція ssl_check_nacp,2022-11-29 15:13:25.763374
sanctions.nazk.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 29.11.22 15:16:30,2022-11-29 15:16:31.970701
Запуск скрипта, LOADED,29:11:22 15:33:15
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 15:33:18.750432
Запуск скрипта, LOADED,29:11:22 15:36:44
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 15:36:50.308910
interes.shtab.net,ALERT: DOWN 🛑 Connection Timeout. Down since: 29.11.22 15:40:26   ,2022-11-29 15:40:26.736289
interes.shtab.net,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 9 сек.,2022-11-29 15:41:35.796649
Запуск скрипта, LOADED,29:11:22 15:49:48
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 15:50:04.207093
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 15:58:34.995986
interes.shtab.net,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 7 хв 7 сек.,2022-11-29 15:58:35.305626
Запуск скрипта, LOADED,29:11:22 15:59:57
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 16:01:04.929841
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  29.11.22 16:01:32   ,2022-11-29 16:01:32.362949
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 16:03:01.918494
91.142.175.11:53,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 40 сек.,2022-11-29 16:03:13.088649
91.142.175.21:587,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 21 сек.,2022-11-29 16:03:13.318529
Запуск скрипта, LOADED,29:11:22 16:05:13
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 16:05:18.650478
acskidd.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 29.11.22 16:11:26   ,2022-11-29 16:11:26.443156
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),2022-11-29 16:17:55.258375
interes.shtab.net,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 5 хв 22 сек.,2022-11-29 16:17:55.554153
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  29.11.22 16:18:20   ,2022-11-29 16:18:21.026306
91.142.175.21:587,ALERT: DOWN 🛑 Down since:  29.11.22 16:18:42   ,2022-11-29 16:18:42.238509
acskidd.gov.ua,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 7 хв 16 сек.,2022-11-29 16:18:43.084725
Запуск скрипта, LOADED,29:11:22 16:34:33
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),  29.11.22 16:34:40
Зупиняємо процес перевірки ,функцція: stop_up_nacp,  29.11.22 16:35:06
91.142.175.11:53,ALERT: DOWN 🛑 Down since:  29.11.22 16:35:05   ,  29.11.22 16:35:06
91.142.175.21:587,ALERT: DOWN 🛑 Down since:  29.11.22 16:35:27   ,  29.11.22 16:35:27
Перевірка UP_SITE зупинена, функція up_nacp,  29.11.22 16:36:28
Запускаємо перевірку UP_SITE ,(1 раз на 1.0 хв),  29.11.22 16:37:19
91.142.175.11:53,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 2 хв 27 сек.,  29.11.22 16:37:33
91.142.175.21:587,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 2 хв 6 сек.,  29.11.22 16:37:34
acskidd.gov.ua,ALERT: DOWN 🛑 Connection Timeout. Down since: 29.11.22 16:40:09   ,  29.11.22 16:40:09
acskidd.gov.ua,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 13 сек.,  29.11.22 16:41:22
interes.shtab.net,ALERT: DOWN 🛑 Connection Timeout. Down since: 29.11.22 17:00:04   ,  29.11.22 17:00:08
interes.shtab.net,RECOVERY: 🟢 Був вимкнений протягом: 0 дн. 0 год. 1 хв 13 сек.,  29.11.22 17:01:18
